artist,title,Lyrics
Bob Marley & The Wailers,"No Woman, No Cry","No woman, no cry
No woman, no cry
No woman, no cry
No woman, no cry

'Cause, 'cause, 'cause I remember when we used to sit
In the government yard in Trenchtown
Oba, observing the hypocrites, yeah
Mingle with the good people we meet, yeah
Good friends we have had, oh good friends we've lost along the way, yeah
In this bright future you can't forget your past
So dry your tears I say, yeah

No woman, no cry
No woman, no cry, eh, yeah
Little darling don't shed no tears
No woman, no cry

Eh, Said, said, said I remember when we used to sit
In the government yard in Trenchtown, yeah
And then Georgie would make the fire light, I say
A log wood burning through the night
Then we would cook corn meal porridge, I say
Of which I'll share with you, yeah
My feet is my only carriage
And so I've got to push on through
But while I'm gone

Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
So No woman, no cry
No woman, no cry, I say
Oh little, oh little darling, don't shed no tears
No woman, no cry, eh

No woman, no woman, no woman, no cry
No woman, no cry
One more time I've got to say
Oh little, little darling, please don't shed no tears
No woman, no cry"
Bob Marley & The Wailers,Redemption Song,"Old pirates, yes, they rob I
Sold I to the merchant ships
Minutes after they took I
From the bottomless pit
But my hand was made strong
By the hand of the Almighty
We forward in this generation
Triumphantly

Won't you help to sing
These songs of freedom?
'Cause all I ever have
Redemption songs
Redemption songs

Emancipate yourselves from mental slavery
None but ourselves can free our minds
Have no fear for atomic energy
'Cause none of them can stop the time
How long shall they kill our prophets
While we stand aside and look?
Ooh, some say it's just a part of it
We've got to fulfill the book

Won't you help to sing
These songs of freedom?
'Cause all I ever have
Redemption songs
Redemption songs
Redemption songs


Emancipate yourselves from mental slavery
None but ourselves can free our minds
Whoa! Have no fear for atomic energy
'Cause none of them-ah can-ah stop-ah the time
How long shall they kill our prophets
While we stand aside and look?
Yes, some say it's just a part of it
We've got to fulfill the book

Won't you help to sing
These songs of freedom?
'Cause all I ever have
Redemption songs

All I ever have
Redemption songs
These songs of freedom
Songs of freedom"
Bob Marley & The Wailers,Three Little Birds,"""Don't worry about a thing
Cause every little thing is gonna be alright""
Singing, ""Don't worry about a thing
Cause every little thing is gonna be alright!""

Rise up this morning, smiled with the rising sun
Three little birds pitch by my doorstep
Singing sweet songs of melodies pure and true
Saying, ""This is my message to you""

Singing, ""Don't worry about a thing
Cause every little thing is gonna be alright""
Singing, ""Don't worry about a thing (Don't worry)
Cause every little thing is gonna be alright!""

Rise up this morning, smiled with the rising sun
Three little birds pitch by my doorstep
Singing sweet songs of melodies pure and true
Saying, ""This is my message to you""

Singing, ""Don't worry about a thing (Worry about a thing, oh)
Cause every little thing is gonna be alright (Don't worry)
Singing, ""Don't worry about a thing (I won't worry)
Cause every little thing is gonna be alright!""
Singing, ""Don't worry about a thing
Cause every little thing is gonna be alright (I won't worry)
Singing, ""Don't worry about a thing
Cause every little thing is gonna be alright!""
Singing, ""Don't worry about a thing (Don't worry about a thing)
Cause every little thing is gonna be alright"
Bob Marley & The Wailers,One Love / People Get Ready (Medley),"One Love! One Heart!
Let's get together and feel all right
Hear the children crying (One Love!)
Hear the children crying (One Heart!)
Saying: give thanks and praise to the Lord and I will feel all right
Saying: let's get together and feel all right. Wo wo-wo wo-wo!

Let them all pass all their dirty remarks (One Love!)
There is one question I'd really love to ask (One Heart!)
Is there a place for the hopeless sinner
Who has hurt all mankind just to save his own beliefs?
Believe me

One Love! What about the one heart? One Heart!
What about the- Let's get together and feel all right
As it was in the beginning (One Love!)
So shall it be in the end (One Heart!)
All right!
Give thanks and praise to the Lord and I will feel all right
Let's get together and feel all right
One more thing!

Let's get together to fight this Holy Armagiddyon (One Love!)
So when the Man comes there will be no, no doom (One Song!)
Have pity on those whose chances grows thinner
There is no hiding place from the Father of Creation
Singing!

One Love! What about the one heart? One Heart!
What about the- Let's all get together and feel all right
I'm pleadin' to mankind! (One Love!)
Oh, Lord! (One Heart) Wo-ooh
Give thanks and praise to the Lord and I will feel all right
Let's get together and feel all right
Give thanks and praise to the Lord and I will feel all right
Let's get together and feel all right"
Bob Marley & The Wailers,Could You Be Loved,"Could you be loved and be loved?
Could you be loved and be loved?

Don't let them fool ya
Or even try to school ya!
Oh, no!
We've got a mind of our own
So go to hell if what you're thinking isn't
Right!
Love would never leave us alone
A-yin the darkness there must come out to light

Could you be loved and be loved?
Could you be loved, wo yeah! - and be loved?

The road of life is rocky and you may stumble too
So while you point your fingers someone else is judging you

Love your brotherman!
Could you be, could you be , could you be loved?
Could you be, could you be loved?
Could you be, could you be, could you be loved?
Could you be, could you be loved?

Don't let them change ya, oh!
(Scat singing)
Or even rearrange ya!
(Scat singing)
Oh, no!
We've got a life to live
(Ooh, ooh, ooohh)
They say
Only
Only
Only the fittest of the fittest shall survive -
Stay alive! Ehh!

Could you be loved and be loved?
Could you be loved, woah yeah! - and be loved?

Never miss your water until your well runs dry
No matter how you treat him, the man will never be satisfied

Say something! (Could you be - could you be - could you be loved?
Could you be - could you be loved?)
Say something! Say something!
(Could you be - could you be - could you be loved?)
Say something!
Say something! Say something! Say something!
Say something! Say something! (Could you be loved?)
Say something! Say something! Reggae, reggae!
Say something! Rockers, rockers!
Say something! Reggae, reggae!
Say something! Rockers, rockers!
Say something! (Could you be loved?)
Say something! Uh!
Say something! Come on!
Say something! (Could you be - could you be - could you be loved?)
Say something! (Could you be - could you be loved?)
Say something! (Could you be - could you be - could you be loved?)
Say something!
Say something"
Bob Marley & The Wailers,Buffalo Soldier,"Buffalo soldier, dreadlocked rasta
There was a Buffalo Soldier in the heart of America
Stolen from Africa, brought to America
Fighting on arrival, fighting for survival
I mean it, when I analyse the stench
To me it makes a lot of sense
How the dreadlocked rasta was a Buffalo Soldier

And he was taken from Africa, brought to America
Fighting on arrival, fighting for survival
Said it was a Buffalo Soldier, dreadlocked Rasta
Buffalo Soldier in the heart of America

If you know your history
Then you would know where you're coming from
Then you wouldn't have to ask me
Who the 'eck do I think I am

I'm just a Buffalo Soldier in the heart of America
Stolen from Africa, brought to America
Said he was fighting on arrival, fighting for survival
Said he was a Buffalo Soldier, win the war for America
Said he, woy yoy yoy, woy yoy-yoy yoy
Woy yoy yoy yoy, yoy yoy-yoy yoy!
Woy yoy yoy, woy yoy-yoy yoy
Woy yoy yoy yoy, yoy yoy-yoy yoy!

Buffalo Soldier troddin' through the land, wo-ho-ooh!
Said he want to ran and then you want a hand
Troddin' through the land, yea-hea, yea-ea
Said he was a Buffalo Soldier in the war for America
Buffalo Soldier, dreadlocked Rasta
Fighting on arrival, fighting for survival
Driven from the mainland to the heart of the Caribbean
Said he, woy yoy yoy, woy yoy-yoy yoy
Woy yoy yoy yoy, yoy yoy-yoy yoy!
Woy yoy yoy, woy yoy-yoy yoy
Woy yoy yoy yoy, yoy yoy-yoy yoy!

Trodding through San Juan
In the arms of America
Trodding through Jamaica, a Buffalo Soldier
Fighting on arrival, fighting for survival
Buffalo Soldier, dreadlock rasta
Woy yoy yoy, woy yoy-yoy yoy
Woy yoy yoy yoy, yoy yoy-yoy yoy!"
Bob Marley & The Wailers,"Get Up, Stand Up","Get Up, Stand Up, stand up for your right
Get Up, Stand Up, stand up for your right
Get Up, Stand Up, stand up for your right
Get Up, Stand Up, don't give up the fight

Preacher man don't tell me heaven is under the earth
I know you don't know what life is really worth
Is not all that glitters in gold and
Half the story has never been told
So now you see the light, aay
Stand up for your right. Come on

Get Up, Stand Up, stand up for your right
Get Up, Stand Up, don't give up the fight
Get Up, Stand Up, stand up for your right
Get Up, Stand Up, don't give up the fight

Most people think great God will come from the sky
Take away everything, and make everybody feel high
But if you know what life is worth
You would look for yours on earth
And now you see the light
You stand up for your right, yeah

Get Up, Stand Up (Yeah, yeah)
Stand up for your right (Ohh-huuh)
Get Up, Stand Up (Get Up, Stand Up)
Don't give up the fight (Life is your right)
Get Up, Stand Up (So we can't give up the fight)
Stand up for your right (Lord, Lord)
Get Up, Stand Up (Keep on struggling on)
Don't give up the fight (Yeah)

We're sick and tired of your ism and schism game
Die and go to heaven in Jesus' name, Lord
We know and we understand
Almighty God is a living man
You can fool some people sometimes
But you can't fool all the people all the time
So now we see the light
(What you gonna do?)
We going to stand up for our right
(Yeah, yeah, yeah)
So you'd better...

Get Up, Stand Up (Don't give it up)
Stand up for your right (Stand up right now)
Get Up, Stand Up, don't give up the fight
(Don't give it up, don't give it up)
Get Up, Stand Up (Get Up, Stand Up)
Stand up for your right (Get Up, Stand Up)
Get Up, Stand Up, don't give up the fight
Get Up, Stand Up, stand up for your right
Get Up, Stand Up, don't give up the fight
Get Up, Stand Up, stand up for your right"
Bob Marley & The Wailers,Waiting in Vain,"I don't wanna wait in vain for your love
I don't wanna wait in vain for your love

From the very first time I blessed my eyes on you, girl
My heart says follow through
But I know, now, that I'm way down on your line
But the waitin' feel is fine
So don't treat me like a puppet on a string
Cause I know how to do my thing
Don't talk to me as if you think I'm dumb
I wanna know when you're gonna come, see

I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
Cause if summer is here
I'm still waiting there
Winter is here
And I'm still waiting there


Like I said:
It's been three years since I'm knockin' on your door
And I still can knock some more
Ooh girl, ooh girl, is it feasible?
I wanna know now, for I to knock some more
Ya see, in life I know there's lots of grief
But your love is my relief
Tears in my eyes burn - tears in my eyes burn
While I'm waiting - while I'm waiting for my turn
See!

I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
I don't wanna wait in vain for your love, oh!

I don't wanna - I don't wanna - I don't wanna - I don't wanna -
I don't wanna wait in vain
I don't wanna - I don't wanna - I don't wanna - I don't wanna -
I don't wanna wait in vain
No, I don't wanna (I don't wanna - I don't wanna - I don't wanna -
I don't wanna - I don't wanna wait in vain) -
No I - no I (I don't wanna - I don't wanna - I don't wanna - I don't
Wanna - I don't wanna wait in vain) -
No, no-no, I, no, I (I don't wanna - I don't wanna - I don't wanna -
I don't wanna - I don't wanna wait in vain) -
It's your love that I'm waiting on (I don't wanna - I don't wanna -
I don't wanna - I don't wanna - I don't wanna wait in vain);
It's me love that you're running from
It's your love that I'm waiting on (I don't wanna - I don't wanna -
I don't wanna - I don't wanna - I don't wanna wait in vain);
It's me love that you're running from"
Bob Marley & The Wailers,Is This Love,"I want to love you and treat you right
I want to love you every day and every night
We'll be together with a roof right over our heads
We'll share the shelter of my single bed
We'll share the same room, yeah!
For Jah provide the bread

Is this love - is this love - is this love
Is this love that I'm feeling?
Is this love - is this love - is this love
Is this love that I'm feeling?
I want to know - want to know - want to know now!
I got to know - got to know - got to know now!
I-I-I-I-I-I-I-I-I - I'm willing and able
So I throw my cards on your table!

I want to love you - I want to love and treat -
Love and treat you right
I want to love you every day and every night
We'll be together, yeah! -
With a roof right over our heads
We'll share the shelter, yeah, oh now! -
Of my single bed
We'll share the same room, yeah! -
For Jah provides the bread

Is this love - is this love - is this love
Is this love that I'm feeling?
Is this love - is this love - is this love
Is this love that I'm feeling?
Wo-o-o-oah! Oh yes, I know; yes, I know - yes, I know now!
Yes, I know; yes, I know - yes, I know now!
Yes I, yes I - I'm willing and able
So I throw my cards on your table!

See, I want to love you - I want to love and treat you -
Love and treat you right
I want to love you every day and every night
We'll be together
With a roof right over our heads
We'll share the shelter
Of my single bed
We'll share the same room, yeah
Jah provides the bread

We'll share the shelter, of my single bed
We'll share the same room..."
Bob Marley & The Wailers,I Shot The Sheriff,"I shot the sheriff
But I didn't shoot no deputy, oh no, oh
I shot the sheriff
But I didn't shoot no deputy, ooh, ooh, ooh

Yeah, all around in my home town
They're trying to track me down, yeah
They say they want to bring me in guilty
For the killing of a deputy
For the life of a deputy
But I say
Oh, now, now, oh

I shot the sheriff, the sheriff
But I swear it was in self-defense, oh no
Ooh, ooh, ooh, yeah
I say, I shot the sherriff, oh Lord
And they say it is a capital offense, yeah
Ooh, ooh, ooh, yeah

Sheriff John Brown always hated me
For what, I don't know
Every time I plant a seed
He said kill it before it grow
He said kill them before they grow
And so, and so
Read it in the news

I shot the sheriff, oh Lord
But I swear it was in self-defense
Where was the deputy? Ooh, ooh, ooh
I say, I shot the sheriff
But I swear it was in self-defense, yeah
Ooh-ooh

Freedom came my way one day
And I started out of town, yeah
All of a sudden I saw Sheriff John Brown
Aiming to shoot me down
So I shot, I shot, I shot him down and I say
If I am guilty I will pay (pay, pay, pay, pay, pay)

I shot the sheriff
But I say, but I didn't shoot no deputy
I didn't shoot no deputy, oh no, ooh, ooh, ooh
I shot the sheriff, I did
But I didn't shoot no deputy, oh
Ooh, ooh, ooh

Reflexes had the better of me
And what is to be must be
Every day the bucket a-go a well
One day the bottom a-go drop out
One day the bottom a-go drop out

I say
I-I-I, I shot the sheriff
Lord, I didn't shot the deputy, no
Yeah, I-I shot the sheriff
But I didn't shoot no deputy, yeah, so, yeah"
Bob Marley & The Wailers,Jamming,"Ooh, yeah! All right!
We're jammin'
I wanna jam it with you
We're jammin', jammin'
And I hope you like jammin', too

Ain't no rules, ain't no vow, we can do it anyhow:
I'n'I will see you through
'Cos everyday we pay the price, we're the living sacrifice
Jammin' till the jam is through

We're jammin'
To think that jammin' was a thing of the past
We're jammin'
And I hope this jam is gonna last

No bullet can stop us now, we neither beg nor we won't bow;
Neither can be bought nor sold
We all defend the right; Jah - Jah children must unite:
Your life is worth much more than gold

We're jammin' (Jammin', jammin', jammin')
And we're jammin' in the name of the Lord
We're jammin' (Jammin', jammin', jammin')
We're jammin' right straight from yard

Yeh! Holy Mount Zion
Holy Mount Zion:
Jah seated in Mount Zion
And rules all creation

Yeah, we're - we're jammin' (Wotcha-wa)
Wotcha-wa-wa-wa, we're jammin' (Wotcha-wa)
See, I wanna jam it wid you
We're jammin' (Jammin', jammin', jammin')
I'm jammed: I hope you're jammin', too

Jam's about my pride and truth I cannot hide
To keep you satisfied
True love that now exist is the love I can't resist
So jam by my side

We're Jammin' (Jammin', jammin', jammin'), yeah-eah-eah!
I wanna jam it wid you
We're jammin', we're jammin', we're jammin', we're jammin'
We're jammin', we're jammin', we're jammin', we're jammin';
Hope you like jammin', too
We're jammin', we're jammin' (Jammin')
We're jammin', we're jammin' (Jammin')
I wanna (I wanna jam it wid you) - I wanna -
I wanna jam wid you now
Jammin', jammin' (Hope you like jammin' too)
Eh-eh! I hope you like jammin', I hope you like jammin'
'Cause (I wanna jam it wid you). I wanna jam it wid you
I like - I hope you - I hope you like jammin', too
I wanna jam it;
I wanna jam it"
